State,WHITESPACE,*,+,-,/,%,^,+=,-=,++,--,<,<=,>,>=,=,==,!=,||,&&,~,main,id,num,string,character,int,char,float,double,void,cin,cout,while,for,if,else,break,return,[,],{,},(,),",",;,<<<,>>>,>>,<<,$
0,,,,,,,,,,,,,,,,,,,,,,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,s7,s8,s9,s10,s6,,,,,,,,,,,,,,,,,,,,,r177
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s11,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r1
5,,,,,,,,,,,,,,,,,,,,,,,s13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,s13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,r18,,,,,,,,,,,,,,,,,,,,,,r18,r18,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,r19,,,,,,,,,,,,,,,,,,,,,,r19,r19,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,r20,,,,,,,,,,,,,,,,,,,,,,r20,r20,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,r21,,,,,,,,,,,,,,,,,,,,,,r21,r21,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s15,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s17,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s18,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s17,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s20,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,s7,s8,s9,s10,s6,,,,,,,,,,,,,,,,,,,,,r177
17,,,,,,,,,,s47,s48,,,,,,,,,,,,s33,,,,s7,s8,s9,s10,s46,s43,s44,s36,s42,s49,,s38,s39,,,s17,r123,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,s7,s8,s9,s10,s51,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,s7,s8,s9,s10,s6,,,,,,,,,,,,,,,,,,,,,r177
20,,,,,,,,,,s47,s48,,,,,,,,,,,,s33,,,,s7,s8,s9,s10,s46,s43,s44,s36,s42,s49,,s38,s39,,,s17,r13,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r175
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s66,,,,,,,,,
23,,,,,,,,,,s47,s48,,,,,,,,,,,,s33,,,,s7,s8,s9,s10,s46,s43,s44,s36,s42,s49,,s38,s39,,,s17,r123,,,,,,,,,
24,,,,,,,,,,s47,s48,,,,,,,,,,,,s33,,,,s7,s8,s9,s10,s46,s43,s44,s36,s42,s49,,s38,s39,,,s17,r123,,,,,,,,,
25,,,,,,,,,,s47,s48,,,,,,,,,,,,s33,,,,s7,s8,s9,s10,s46,s43,s44,s36,s42,s49,,s38,s39,,,s17,r123,,,,,,,,,
26,,,,,,,,,,s47,s48,,,,,,,,,,,,s33,,,,s7,s8,s9,s10,s46,s43,s44,s36,s42,s49,,s38,s39,,,s17,r123,,,,,,,,,
27,,,,,,,,,,s47,s48,,,,,,,,,,,,s33,,,,s7,s8,s9,s10,s46,s43,s44,s36,s42,s49,,s38,s39,,,s17,r123,,,,,,,,,
28,,,,,,,,,,s47,s48,,,,,,,,,,,,s33,,,,s7,s8,s9,s10,s46,s43,s44,s36,s42,s49,,s38,s39,,,s17,r123,,,,,,,,,
29,,,,,,,,,,s47,s48,,,,,,,,,,,,s33,,,,s7,s8,s9,s10,s46,s43,s44,s36,s42,s49,,s38,s39,,,s17,r123,,,,,,,,,
30,,,,,,,,,,s47,s48,,,,,,,,,,,,s33,,,,s7,s8,s9,s10,s46,s43,s44,s36,s42,s49,,s38,s39,,,s17,r123,,,,,,,,,
31,,,,,,,,,,s47,s48,,,,,,,,,,,,s33,,,,s7,s8,s9,s10,s46,s43,s44,s36,s42,s49,,s38,s39,,,s17,r123,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s76,,,,,
33,,,,,,,,s82,s81,s77,s78,,,,,s80,,,,,,,,,,,,,,,,,,,,,,,,s79,,,,,,,,,,,,
34,,,,,,,,,,r77,r77,,,,,,,,,,,,r77,,,,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,,,r77,r77,,,,,,,,,
35,,,,,,,,,,r14,r14,,,,,,,,,,,,r14,,,,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,,,r14,r14,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s83,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s84,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s85,,,,,
39,,,,s94,,,,,,s95,s96,,,,,,,,,,,,s97,s99,s88,s89,,,,,,,,,,,,,,,,,,s101,,,,,,,,
40,,,,,,,,,,r135,r135,,,,,,,,,,,,r135,,,,r135,r135,r135,r135,r135,r135,r135,r135,r135,r135,r135,r135,r135,,,r135,r135,,,,,,,,,
41,,,,,,,,,,r136,r136,,,,,,,,,,,,r136,,,,r136,r136,r136,r136,r136,r136,r136,r136,r136,r136,r136,r136,r136,,,r136,r136,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s102,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s105,,,s104,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s108,,,,s107,
45,,,,,,,,,,,,,,,,,,,,,,,s111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,s113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,s114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,s115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s116,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r178,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s117,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,s118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r176
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s119,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r3,,,,,,,,,
56,,,,,,,,,,s47,s48,,,,,,,,,,,,s33,,,,s7,s8,s9,s10,s46,s43,s44,s36,s42,s49,,s38,s39,,,s17,r13,,,,,,,,,
57,,,,,,,,,,s47,s48,,,,,,,,,,,,s33,,,,s7,s8,s9,s10,s46,s43,s44,s36,s42,s49,,s38,s39,,,s17,r13,,,,,,,,,
58,,,,,,,,,,s47,s48,,,,,,,,,,,,s33,,,,s7,s8,s9,s10,s46,s43,s44,s36,s42,s49,,s38,s39,,,s17,r13,,,,,,,,,
59,,,,,,,,,,s47,s48,,,,,,,,,,,,s33,,,,s7,s8,s9,s10,s46,s43,s44,s36,s42,s49,,s38,s39,,,s17,r13,,,,,,,,,
60,,,,,,,,,,s47,s48,,,,,,,,,,,,s33,,,,s7,s8,s9,s10,s46,s43,s44,s36,s42,s49,,s38,s39,,,s17,r13,,,,,,,,,
61,,,,,,,,,,s47,s48,,,,,,,,,,,,s33,,,,s7,s8,s9,s10,s46,s43,s44,s36,s42,s49,,s38,s39,,,s17,r13,,,,,,,,,
